ID,PRODUTO,CATEGORIA PRODUTO,QTDE,VALOR,DESCONTO,TOTAL,LOJA,VENDEDOR,CLIENTE,SEXO,ESTADO CIVIL,DATA,PERIODO,MES
50,M,WB,1,296,0.0,296.0,AAIB,VTRVC,XWFMOJ SJFYJUTW,f,d,2019-06-05,2019-06,6
51,W,FW,9,226,0.02,1993.32,TXKC,COBZQ,NRRZKU IKKNZGVB,m,d,2019-03-12,2019-03,3
52,L,BY,6,246,0.01,1461.24,EYOJ,SSXBF,KRDSZP NUASJBPE,-,s,2019-06-19,2019-06,6
53,J,PU,6,223,0.02,1311.24,IXZL,BZNGJ,DXRSGD FFOMITQI,m,d,2019-12-21,2019-12,12
54,W,AC,1,257,0.04,246.72,CFOP,HARJE,GKOHSL EYAJUCHK,f,d,2019-07-06,2019-07,7
55,N,OC,4,285,0.0,1140.0,ABDS,PVUTP,KDLGEB MYMBQEOV,a,-,2019-03-16,2019-03,3
56,M,FC,2,258,0.02,505.68,AEBQ,TODTE,QTNGII KLHJYFOQ,f,s,2019-09-14,2019-09,9
57,N,YT,3,244,0.01,724.68,NANG,ZAIMF,BBBHKT GYVKZOWT,m,s,2019-11-11,2019-11,11
58,H,OU,9,197,0.01,1755.27,MJIP,QBXFD,VPTHWO NMGMYKMY,f,d,2019-05-07,2019-05,5
59,N,QS,4,294,0.02,1152.48,KVBO,OMNDE,BKSTCN HTDEDBLP,a,-,2019-12-19,2019-12,12
60,I,GU,2,192,0.01,380.16,NHCG,UNLQY,HEDOCR XACWFZLG,f,c,2019-08-28,2019-08,8
61,E,TN,5,214,0.0,1070.0,SYCZ,FEGGK,CKYWVN XBAMMAWA,-,-,2019-02-01,2019-02,2
62,I,CA,1,163,0.04,156.48,SJGZ,MABNT,QQZPKD XCTWXWJA,-,c,2019-04-18,2019-04,4
63,A,DH,2,270,0.01,534.6,BFPZ,CLHYW,OKAMLR UWAYLTHV,f,d,2019-12-14,2019-12,12
64,C,SU,6,170,0.02,999.6,SOXS,CVTKA,AZMZTG DQNEIZGS,f,-,2019-03-18,2019-03,3
65,W,HN,2,204,0.03,395.76,ZDVC,HIZQX,DDPDIV MLKBLROX,f,-,2019-06-01,2019-06,6
66,U,MC,8,193,0.01,1528.56,ZTXM,MYKEH,PMPYLZ FDATVIIG,-,s,2019-02-15,2019-02,2
67,U,KO,8,290,0.03,2250.4,WVKD,HHXML,LLMXVA FLROPXNQ,f,s,2019-07-02,2019-07,7
68,Q,JW,8,217,0.01,1718.64,WAVG,CWLTD,FWKRBQ AOKMACWN,-,c,2019-02-02,2019-02,2
69,F,TT,7,288,0.02,1975.68,TYMO,WSGYX,KJRQSJ SGTVJOFL,m,s,2019-01-26,2019-01,1
70,H,DE,6,190,0.0,1140.0,MDTK,FCNXD,FHZZNU ZFMQXZLS,a,s,2019-12-20,2019-12,12
71,L,VO,7,234,0.02,1605.24,UAMD,KJSXW,GMVNZG ZGZUAZCM,m,-,2019-09-15,2019-09,9
72,F,OY,4,265,0.02,1038.8,ONEP,IQUQQ,OXQNTP WFJEIQCB,a,d,2019-06-24,2019-06,6
73,F,WZ,3,294,0.04,846.72,LWIC,OICCL,RKJUDY YUBHOLPO,m,-,2019-02-17,2019-02,2
74,Y,IW,2,275,0.02,539.0,HFJN,LRBQV,FXMJTQ WKCYAVEN,m,c,2019-01-28,2019-01,1
75,U,PU,4,264,0.04,1013.76,YSMD,EISSD,QWYVDM FNPHYWEL,m,c,2019-10-17,2019-10,10
76,T,ED,5,171,0.0,855.0,XJXN,FDXMJ,ZHKCLJ TGEVTSUW,a,d,2019-12-09,2019-12,12
77,P,NR,1,262,0.0,262.0,ARSG,HTYHL,VFKBBS YBDMWZZR,a,c,2019-10-19,2019-10,10
78,D,HT,1,218,0.03,211.46,HDLI,XDSVG,BAMQLV WQKAYKQG,m,c,2019-12-13,2019-12,12
79,H,IU,4,243,0.01,962.28,MMUA,GOEJY,FOMAUC FDKIIHFO,-,s,2019-05-02,2019-05,5
80,I,EY,1,211,0.04,202.56,JCRY,ABAGF,GFEAIE IYTULWFN,f,c,2019-01-29,2019-01,1
81,S,BL,7,225,0.01,1559.25,IMYP,TWXNM,SSCHQK VANEABIY,-,c,2019-06-13,2019-06,6
82,Z,FI,4,214,0.0,856.0,MCCY,EQMHZ,JDCBPT CUVLHAMX,a,s,2019-03-14,2019-03,3
83,H,YK,3,156,0.01,463.32,KCBH,YAIKG,DXXWMM QZTPYBGS,-,d,2019-09-21,2019-09,9
84,D,WB,5,160,0.02,784.0,NXLS,FUPQN,XGMDMT QHUTDRPV,f,-,2019-11-02,2019-11,11
85,B,CY,7,217,0.03,1473.43,JPYT,EFEHF,WWXFKA IFUFLYSE,m,s,2019-10-12,2019-10,10
86,I,YZ,7,229,0.01,1586.97,QPJO,HBHME,HETZCW GOSBBPJA,-,c,2019-10-28,2019-10,10
87,G,GF,2,289,0.02,566.44,JLAJ,WQAGW,FWZKOZ FNMKUFEV,-,d,2019-10-30,2019-10,10
88,I,PE,8,213,0.03,1652.88,UXMV,PYVYF,STBMJC TCUTTQFF,-,s,2019-03-12,2019-03,3
89,L,PX,4,258,0.0,1032.0,UXKH,RURTY,VSRREB ZPFBAISG,f,s,2019-09-17,2019-09,9
90,K,YX,3,222,0.02,652.68,KDPO,FHEFJ,DEBEBD BWJMQLTY,m,s,2019-10-25,2019-10,10
91,C,JY,1,206,0.01,203.94,VBXY,CRNUO,GVDTTP VTMEVWJZ,f,s,2019-10-17,2019-10,10
92,R,FZ,3,227,0.03,660.57,CPBJ,QNPZX,TTBKQG XUQOOMKX,a,c,2019-05-03,2019-05,5
93,S,OX,5,285,0.03,1382.25,JNFB,KBHNA,KCOPPQ CCHSJVEB,f,d,2019-02-14,2019-02,2
94,O,FD,5,269,0.03,1304.65,EAKG,HYSWJ,GBJVXL TDSWSLOO,f,-,2019-06-14,2019-06,6
95,O,HW,4,277,0.01,1096.92,HDPC,TQQKR,FEUPND CMTZIKTM,m,c,2019-03-25,2019-03,3
96,R,VY,4,195,0.0,780.0,GLVC,EINGD,BFGEBW ZKAVSBEK,f,s,2019-03-09,2019-03,3
97,I,UY,2,270,0.02,529.2,QCJU,TAQZC,BLCZYL HFFLGYBY,m,c,2019-10-10,2019-10,10
98,L,RT,1,230,0.04,220.8,SWTO,OPPBZ,JGSWWT QEHVPLQX,m,-,2019-10-10,2019-10,10
99,G,AS,8,192,0.03,1489.92,ZKMP,ILZNA,RBOCVD VNCOYNIW,-,s,2019-12-20,2019-12,12
100,G,PL,9,218,0.01,1942.38,GTWM,NBGBQ,ETQHSZ KLBKBZOH,-,-,2019-05-04,2019-05,5
101,I,IR,6,274,0.03,1594.68,BRAX,APOIF,GKCETF GCIIPDRF,m,c,2019-05-18,2019-05,5
102,F,NL,8,281,0.01,2225.52,FBUK,ESAMQ,QGFVUL BJJCFZBH,-,d,2019-04-23,2019-04,4
103,C,SR,7,195,0.0,1365.0,GQGG,DFUQI,UINNHG HAKREADY,f,d,2019-08-24,2019-08,8
104,H,TN,1,264,0.0,264.0,RYWU,UXBWM,AXBIRB OZXXSYRW,m,d,2019-01-17,2019-01,1
105,P,WC,6,242,0.01,1437.48,LMWL,TYFHC,GZTBCF EUGNDHYU,-,-,2019-10-12,2019-10,10
106,W,EY,4,260,0.0,1040.0,LJEA,BOIQL,NEEJTR QQTKRPTC,-,c,2019-10-30,2019-10,10
107,O,SQ,6,208,0.0,1248.0,FZGH,ARAKT,WQLVFR WOFFXSOX,f,-,2019-03-11,2019-03,3
108,F,LL,5,245,0.03,1188.25,SYIE,SFORC,JWPHUA MWYUVKTU,a,c,2019-02-02,2019-02,2
109,X,DL,8,273,0.01,2162.16,WKYE,IIHAR,HQFFQB PALLTOGJ,-,-,2019-07-11,2019-07,7
110,N,VM,4,260,0.0,1040.0,QBYP,AKORQ,PIJEOX PMJBZIZX,-,c,2019-06-06,2019-06,6
111,C,JF,1,152,0.04,145.92,UVSZ,OXFCC,GXRUBD UCHROPUS,a,d,2019-11-30,2019-11,11
112,K,PX,6,208,0.02,1223.04,SUNZ,SUOFB,CRRPKH ZYOJIXQS,m,c,2019-11-04,2019-11,11
113,S,QC,1,285,0.03,276.45,BLJO,LNDWY,UENBOY TOJCURJO,m,d,2019-03-06,2019-03,3
114,Z,ZP,3,246,0.04,708.48,SLJW,XCZCJ,NLDICD FJRWGXAI,-,d,2019-11-29,2019-11,11
115,J,XR,6,277,0.02,1628.76,NLRA,DOFFT,IXQQVL XJHSNVMI,f,-,2019-10-22,2019-10,10
116,R,KV,6,194,0.01,1152.36,NNCK,WROON,FPGCSH OWCNCRQX,a,d,2019-12-11,2019-12,12
117,P,HC,8,215,0.0,1720.0,QUEQ,ECSXW,FEQWSJ QVSBNNSY,f,-,2019-11-05,2019-11,11
118,E,ZM,4,266,0.01,1053.36,TSZK,OKYVM,VIFEUC KIKNZBZO,a,c,2019-06-06,2019-06,6
119,R,XP,6,181,0.01,1075.14,LXMR,RMJSA,BAINNS XQLNYMIE,a,-,2019-03-06,2019-03,3
120,N,EC,1,229,0.02,224.42,JGIZ,QPESV,RADGQG ZAZWNRRE,m,-,2019-03-14,2019-03,3
121,Z,AH,6,206,0.03,1198.92,OZJV,LCPUF,AWTLYL VRAULCQG,-,-,2019-01-15,2019-01,1
122,K,XH,3,262,0.02,770.28,KLJE,HBQBO,RYBQRV XEULTKBQ,f,d,2019-03-11,2019-03,3
123,C,PG,7,187,0.04,1256.64,VKWI,ZMRJN,EZGMJU POSEWOZE,-,-,2019-01-24,2019-01,1
124,L,XG,5,251,0.0,1255.0,EJLL,DIMFS,FSDEGO FMZPWQZE,-,c,2019-02-21,2019-02,2
125,E,VD,8,194,0.02,1520.96,WPRS,LYORJ,ATCFXP WMFASBZY,m,-,2019-04-22,2019-04,4
126,E,YC,6,244,0.04,1405.44,NOXY,UNHHD,YKHOFR QBMGTPLA,m,d,2019-05-29,2019-05,5
127,A,HC,2,215,0.0,430.0,PRJL,AJGIX,KMSJDM JFNJJJGR,-,d,2019-02-18,2019-02,2
128,S,PR,7,263,0.03,1785.77,JPBK,WNCMC,CQIFAC SIKNWZHZ,f,-,2019-10-14,2019-10,10
129,B,JW,1,288,0.03,279.36,RDHB,DZVKT,BLGRJN TGYQCCVP,m,-,2019-09-18,2019-09,9
130,Q,GM,1,236,0.01,233.64,IFGJ,JYIGO,YRQAFM SVMTOLET,f,d,2019-10-20,2019-10,10
131,G,AT,6,214,0.04,1232.64,GCHX,HVRBK,NKDDAL OSJDSJDP,m,c,2019-11-30,2019-11,11
132,E,LQ,6,269,0.03,1565.58,DKCB,ZLORG,NTKEKP XFLBKDDE,f,c,2019-03-23,2019-03,3
133,I,HF,7,290,0.0,2030.0,YJXE,QELLG,FUOJED PORRPGKE,-,c,2019-04-19,2019-04,4
134,L,UK,9,223,0.0,2007.0,JTGR,ZVIOP,SHESZC GIPOBKIV,a,d,2019-06-19,2019-06,6
135,P,GM,9,237,0.0,2133.0,KIZM,YIQBT,GBHPIP OQCJQTIV,m,-,2019-04-28,2019-04,4
136,L,ZF,1,158,0.02,154.84,NSHI,UHPQQ,YXAJLF KBNUSXDZ,-,-,2019-11-14,2019-11,11
137,T,EN,3,295,0.02,867.3,RLWR,QFFEK,VYSKUW XQXKFBDI,-,s,2019-02-06,2019-02,2
138,D,VE,4,188,0.0,752.0,CCDZ,GVUXX,GKHBCD FVRGIKPH,a,s,2019-09-07,2019-09,9
139,Q,XE,7,170,0.0,1190.0,BUTA,MRDYK,SZSTIR XRVJEUKF,-,s,2019-12-26,2019-12,12
140,F,OR,4,272,0.03,1055.36,GLHC,SOZBT,XYHSXZ AUSUQPBL,-,-,2019-01-08,2019-01,1
141,Y,BE,5,178,0.04,854.4,QZJM,BIZLP,FJFMVQ WTPAOGWS,m,-,2019-09-09,2019-09,9
142,Q,LX,5,200,0.01,990.0,JGFG,YCQDV,HLPWEC WHEJZZZP,-,c,2019-03-29,2019-03,3
143,I,XX,4,276,0.04,1059.84,OOGZ,XINYX,HMQURA BWMPBFDU,m,c,2019-06-03,2019-06,6
144,F,ML,5,289,0.03,1401.65,VWYN,SEZXF,MEDOLE YFWDTMAN,f,s,2019-05-23,2019-05,5
145,B,OH,2,198,0.01,392.04,UJOC,FGQWH,DMUAKP UHVBJXMZ,m,s,2019-08-30,2019-08,8
146,V,SO,2,299,0.0,598.0,MGFW,TXSZI,EVXSNW AXJCWCCL,m,s,2019-04-19,2019-04,4
147,H,CU,9,157,0.0,1413.0,BVZF,SUUHG,YYNKSD NZYUVPVC,-,d,2019-06-22,2019-06,6
148,C,VY,9,292,0.03,2549.16,UAKR,DAUAP,RPKIKB QFORGKRC,a,-,2019-08-12,2019-08,8
149,A,OH,6,198,0.02,1164.24,YJSM,DWLWR,FYOPZM WPNZWBGQ,f,c,2019-08-06,2019-08,8
150,Z,ZK,7,293,0.0,2051.0,YRCX,DSOGM,QSMFOH RBLBWOJR,f,-,2019-06-18,2019-06,6
151,C,YO,1,294,0.02,288.12,HOOR,FKJVL,LARWLQ UQWTDTWQ,a,c,2019-04-02,2019-04,4
152,U,RT,3,236,0.01,700.92,HUDW,RWSZP,MELZYU VXZTBDTU,f,s,2019-01-29,2019-01,1
153,R,NX,5,220,0.03,1067.0,UIKK,GPCBX,NLBABZ SZYTKKXM,a,-,2019-04-09,2019-04,4
154,K,RJ,3,187,0.01,555.39,GQQI,NVKEC,XRVIAT BIMQTIMF,f,-,2019-07-29,2019-07,7
155,L,TC,5,171,0.0,855.0,ZGZL,LNQVA,INNAMA WHBBNLAJ,f,d,2019-01-26,2019-01,1
156,H,FA,4,179,0.0,716.0,YXZL,XUULL,RZTPZN GCURVJTU,f,s,2019-08-13,2019-08,8
157,J,NF,5,283,0.02,1386.7,LDCF,ZDBXP,QCMRYF GBRZYKNX,f,s,2019-04-18,2019-04,4
158,P,XW,8,218,0.01,1726.56,XNRV,JCORC,QDATUA YJEKBTNE,m,d,2019-08-25,2019-08,8
159,X,SC,6,197,0.0,1182.0,RSUL,OYNDN,PFEFOL KKCUTMCS,f,-,2019-09-18,2019-09,9
160,V,SQ,6,164,0.02,964.32,CTBD,EEWDC,WVPMHW MZXDPJMN,-,-,2019-10-29,2019-10,10
161,S,BF,8,171,0.04,1313.28,NYXB,UKQNK,GYAOXL NJQXGBRU,a,-,2019-04-26,2019-04,4
162,Z,VT,5,152,0.03,737.2,ZAZP,UBBND,JKKUKN BLLYTVEC,-,-,2019-08-18,2019-08,8
163,Z,QG,4,285,0.04,1094.4,VGHE,NENFJ,WDYVBM HGGBBYZV,m,s,2019-06-09,2019-06,6
164,S,TQ,5,172,0.0,860.0,FIFF,YPAAQ,EJEFRE JCWESKUZ,-,d,2019-03-30,2019-03,3
165,D,JP,3,219,0.01,650.43,TOTJ,ITENU,JNGWRU YXHIVJSQ,a,-,2019-10-01,2019-10,10
166,Y,CD,3,265,0.02,779.1,FTBB,CCMBB,MEPJWT NWYDJPUN,a,c,2019-11-16,2019-11,11
167,P,BZ,7,169,0.03,1147.51,QZDD,GIAHO,GUTDTL JXXIQJBO,a,s,2019-04-21,2019-04,4
168,X,GI,3,186,0.02,546.84,PRYC,XTPWV,RJIWUR OTADNCAD,-,d,2019-05-03,2019-05,5
169,Z,PX,7,212,0.0,1484.0,BBMI,KTWLS,FMYMES BVFEYEWX,a,c,2019-04-18,2019-04,4
170,X,HV,3,214,0.03,622.74,ISCQ,QFOOJ,BPPWTU AALSIOOE,a,d,2019-11-02,2019-11,11
171,E,FQ,1,217,0.02,212.66,RAAI,ZLEXN,FSHJMA AZHDXYJT,-,-,2019-05-07,2019-05,5
172,H,LT,6,233,0.0,1398.0,CSMC,GGNIG,FGRWYJ RUSWSREF,f,s,2019-10-22,2019-10,10
173,L,AQ,1,158,0.04,151.68,FXAR,HRTQI,DDRLIK QQCMUZTE,f,s,2019-06-09,2019-06,6
174,Y,WE,1,262,0.01,259.38,LKRQ,EPYSF,SAYXLV NZGZNWZY,-,d,2019-11-03,2019-11,11
175,P,YH,5,279,0.04,1339.2,FDHA,IWTNN,QEEJAX YZNNXOIB,m,d,2019-11-01,2019-11,11
176,K,CJ,5,288,0.01,1425.6,FTUV,CERKY,FCDVZZ OUKXFRXY,-,s,2019-12-27,2019-12,12
177,D,ER,9,291,0.04,2514.24,QPUM,VAMAB,DFVWUA WSJLEGNM,-,c,2019-04-29,2019-04,4
178,D,GF,6,243,0.03,1414.26,HZSM,UUZSW,IMXIBS THGVQILV,-,-,2019-06-05,2019-06,6
179,X,TP,5,162,0.02,793.8,FDCL,YDWIB,ATZKVO PWMXWVVS,m,d,2019-01-26,2019-01,1
180,E,XL,8,183,0.02,1434.72,GQBQ,UTJDT,EJNWDY OYFZBBUB,-,d,2019-12-17,2019-12,12
181,L,RH,9,297,0.04,2566.08,YSSD,RYLSW,ECMYRE HLPXYHUK,-,c,2019-11-02,2019-11,11
182,M,BL,5,231,0.02,1131.9,PQKR,XVIUV,KRRYRD NBZCHPTN,m,c,2019-04-25,2019-04,4
183,J,JV,8,235,0.0,1880.0,AXRS,XVFJT,GTEHNW DCJOHGGK,m,s,2019-03-24,2019-03,3
184,O,YL,6,289,0.02,1699.32,NGNG,ATQEM,LUEDOM WHIVGVWG,-,s,2019-04-21,2019-04,4
185,V,HA,5,233,0.03,1130.05,WMUM,EBBEO,IREVJY JDHLMYML,-,c,2019-07-14,2019-07,7
186,Y,CB,6,230,0.01,1366.2,XHRC,XOWUX,AUOIRE HHKEGWQL,m,c,2019-09-11,2019-09,9
187,S,NS,9,263,0.01,2343.33,IMRD,KFIAA,QFZKLF KVMXNNSU,f,d,2019-11-08,2019-11,11
188,U,PK,4,158,0.03,613.04,ZRDC,XVIEY,YOHTYO WJZKNSRQ,a,d,2019-10-19,2019-10,10
189,S,EV,4,235,0.0,940.0,AKAP,ADVLG,EDHRHR LLOQYYUC,a,d,2019-05-15,2019-05,5
190,P,OL,5,276,0.0,1380.0,MDLC,INSBY,DYOUEX QJIJFGOA,a,s,2019-11-03,2019-11,11
191,H,RN,9,172,0.04,1486.08,QLPQ,MWPJJ,VGWSVH EDCLESGE,m,-,2019-09-17,2019-09,9
192,L,PC,2,174,0.01,344.52,ZMQQ,GODQS,BPPAEP LEOPQNTN,m,-,2019-10-20,2019-10,10
193,I,MV,2,241,0.02,472.36,GPAJ,VWSSD,RQNOWI CACDGTEO,m,d,2019-09-23,2019-09,9
194,O,SO,9,222,0.04,1918.08,RVQC,OPBOF,GRIQKQ MEFRSFMC,a,s,2019-05-03,2019-05,5
195,J,DC,4,217,0.03,841.96,OJKG,PMBQY,EGZFWD CMRZUIZO,m,s,2019-12-24,2019-12,12
196,P,EV,2,260,0.04,499.2,TQPT,SLRAV,AUZXPH GCKPGXEW,f,d,2019-08-01,2019-08,8
197,Y,RJ,8,226,0.04,1735.68,NWGU,UYIOW,VIRQJS LPABHOZM,m,d,2019-07-24,2019-07,7
198,M,JT,5,199,0.03,965.15,HALK,CFVAL,HIZBRJ PUMTCPEP,-,c,2019-07-08,2019-07,7
199,O,TL,1,222,0.04,213.12,OATP,PIFCQ,JFKBMV ZMCBICXW,f,c,2019-11-28,2019-11,11
200,Z,NV,6,212,0.03,1233.84,OKAR,PEVAC,ZIHEDT YUHDSDVN,a,s,2019-06-06,2019-06,6
201,U,NU,3,156,0.0,468.0,DODJ,PWBVM,OJGTWP HOKNHVIO,a,d,2019-02-20,2019-02,2
202,C,NO,7,187,0.03,1269.73,CFVW,LSOQO,BEISMD RSJAFTEA,m,c,2019-06-14,2019-06,6
203,D,ZB,6,291,0.01,1728.54,VNKD,BFFUU,LDQNPK MVHYNKMJ,f,s,2019-01-11,2019-01,1
204,F,RS,4,279,0.0,1116.0,WOTX,TJFKP,TBCNEH KTEFJWDM,-,d,2019-08-13,2019-08,8
205,L,XI,2,280,0.03,543.2,DVGS,RQSTK,WXEPBH KIAXIHRM,-,c,2019-12-15,2019-12,12
206,J,WZ,4,235,0.02,921.2,ROIH,CSYLC,JRCHSR IPWNKPRL,f,d,2019-12-05,2019-12,12
207,D,FA,8,267,0.03,2071.92,XFHG,YHMDZ,OQWKTH SPHGPSQX,a,c,2019-08-13,2019-08,8
208,H,BC,5,167,0.03,809.95,ZLHO,OZLZH,DDIRDZ CELOHMMO,m,-,2019-09-13,2019-09,9
209,B,QC,9,201,0.03,1754.73,EJFJ,FZMCC,QZGEIK KWOUIDKW,-,-,2019-08-14,2019-08,8
210,V,IP,9,226,0.02,1993.32,LJBB,SLVAT,IAKAIQ LXXDEFQF,-,c,2019-02-05,2019-02,2
211,N,RN,1,292,0.02,286.16,CASB,BTMQM,BAXKPH IJYYZMKV,f,-,2019-01-17,2019-01,1
212,X,WX,7,241,0.01,1670.13,VYLY,NQGKJ,YPXQQI EYROSOFJ,m,-,2019-04-27,2019-04,4
213,Q,FW,9,228,0.03,1990.44,FWVK,DSBEF,OTYSQJ TQRDZMQW,f,c,2019-01-23,2019-01,1
214,K,BG,3,279,0.0,837.0,NWSB,ESDLA,LEVKIC KUCQJIKL,f,d,2019-06-11,2019-06,6
215,P,CP,7,237,0.01,1642.41,UGKO,FGEWS,MQWLNH JZHRPCFQ,f,c,2019-12-06,2019-12,12
216,D,RW,4,266,0.01,1053.36,YBIJ,RKFIF,TJJMFI VPXTAVAG,-,-,2019-08-11,2019-08,8
